地名,year,fire_count,frp_sum,frp_mean
东兴市,2010,7,122.3,17.47143
东兴市,2011,14,421.9,30.135714
东兴市,2012,6,241.20001,40.2
东兴市,2013,2,15.2,7.6
东兴市,2014,8,144.8,18.1
东兴市,2015,9,213.0,23.666666
东兴市,2016,2,31.2,15.6
东兴市,2017,2,35.3,17.65
东兴市,2018,8,169.59999,21.199999
东兴市,2019,5,80.3,16.060001
东区,2010,466,8163.2,17.517597
东区,2011,457,8758.8,19.165863
东区,2012,516,10087.9,19.550194
东区,2013,504,9210.2,18.274206
东区,2014,593,11063.3,18.656492
东区,2015,454,7740.7,17.050001
东区,2016,431,6362.3,14.761717
东区,2017,531,9797.4,18.450848
东区,2018,492,9870.8,20.062601
东区,2019,529,9606.8,18.160301
东台市,2010,31,224.8,7.251613
东台市,2011,44,433.0,9.840909
东台市,2012,25,246.6,9.864
东台市,2013,18,164.6,9.144444
东台市,2014,27,253.8,9.400001
东台市,2015,58,545.4,9.403449
东台市,2016,18,161.8,8.988889
东台市,2017,71,694.2,9.777465
东台市,2018,56,568.3,10.148214
东台市,2019,48,471.7,9.827084
东坡区,2010,8,57.0,7.125
东坡区,2011,8,69.2,8.65
东坡区,2012,5,39.0,7.8
东坡区,2013,21,195.6,9.314286
东坡区,2014,12,116.0,9.666667
东坡区,2015,14,274.4,19.6
东坡区,2016,9,83.7,9.299999
东坡区,2017,10,112.1,11.21
东坡区,2018,12,133.6,11.133334
东坡区,2019,11,99.7,9.063636
东宁市,2010,15,115.5,7.7
东宁市,2011,33,249.4,7.5575757
东宁市,2012,21,175.7,8.366667
东宁市,2013,37,261.9,7.078378
东宁市,2014,48,1027.8,21.4125
东宁市,2015,40,366.30002,9.1575
东宁市,2016,35,229.5,6.5571427
东宁市,2017,53,809.4,15.271699
东宁市,2018,38,519.1,13.660525
东宁市,2019,70,818.4,11.691429
东安区,2010,1,7.2,7.2
东安区,2011,18,209.3,11.627778
东安区,2012,13,78.3,6.023077
东安区,2013,16,99.7,6.23125
东安区,2014,9,48.9,5.4333334
东安区,2015,15,116.7,7.7799997
东安区,2016,11,71.1,6.4636364
东安区,2017,22,504.6,22.936363
东安区,2018,6,47.2,7.866667
东安区,2019,10,64.9,6.4900002
东安县,2010,27,361.4,13.385185
东安县,2011,28,401.1,14.325
东安县,2012,52,803.1,15.44423
东安县,2013,64,1242.8,19.41875
东安县,2014,56,1013.5,18.098215
东安县,2015,20,202.0,10.1
东安县,2016,27,385.5,14.277778
东安县,2017,60,907.0,15.116667
东安县,2018,22,331.8,15.081818
东安县,2019,33,398.0,12.060606
东宝区,2010,9,141.0,15.666667
东宝区,2011,17,239.1,14.064706
东宝区,2012,7,111.700005,15.957144
东宝区,2013,11,160.8,14.618182
东宝区,2014,19,200.5,10.552631
东宝区,2015,13,143.3,11.023077
东宝区,2016,10,65.5,6.55
东宝区,2017,10,72.8,7.28
东宝区,2018,4,37.0,9.25
东宝区,2019,9,96.5,10.722222
东山区,2010,47,623.4,13.26383
东山区,2011,112,1675.5,14.959822
东山区,2012,107,1887.5,17.640186
东山区,2013,102,1307.6,12.819608
东山区,2014,148,1849.0,12.493243
东山区,2015,92,1897.2,20.621738
东山区,2016,90,1704.0,18.933332
东山区,2017,119,1477.7,12.417646
东山区,2018,35,624.5,17.842857
东山区,2019,68,1156.2,17.002941
东山县,2010,1,5.5,5.5
东山县,2011,1,8.9,8.9
东山县,2013,2,18.9,9.45
东山县,2014,1,5.1,5.1
东山县,2015,1,11.7,11.7
